producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd-ssd,2,8.726867399409586e-06,6.315837651383689e-06,2.4110297480258974e-06
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs-tmpfs,2,8.827453700888772e-06,6.460451435931252e-06,2.3670022649575196e-06
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,4,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,5,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,8,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,40,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,60,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs-ssd,2,1.8792833111274282e-05,1.8678461915745884e-05,1.1437119552839902e-07
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs-tmpfs,2,1.8801600158867615e-05,1.8678461915745884e-05,1.2313824312173204e-07
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,4,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,5,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,8,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,40,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
